id,llm_error,varierr_error
23751e,"[""c"", ""n""]",[]
61429c,[],[]
54811c,"[""e""]","[""contradiction""]"
12601n,"[""c"", ""n""]",[]
38477c,"[""e""]",[]
1735n,[],"[""neutral""]"
7449e,"[""c""]","[""entailment""]"
24385e,"[""c"", ""n""]",[]
49807n,"[""e"", ""c""]",[]
138448c,[],[]
48454c,"[""c"", ""n""]","[""contradiction""]"
73260n,"[""c"", ""n""]","[""entailment""]"
76219n,"[""c""]",[]
10229n,"[""c""]",[]
99791n,"[""c"", ""n""]",[]
13964e,"[""c"", ""n""]",[]
66185c,"[""n""]","[""contradiction""]"
65066n,"[""e""]",[]
76020e,"[""c"", ""n""]",[]
83248c,"[""n""]","[""neutral""]"
79141n,"[""c"", ""n""]",[]
97926n,[],[]
45957e,[],[]
24126n,"[""c"", ""n""]","[""entailment""]"
135251n,"[""c"", ""n""]",[]
48223n,"[""c""]",[]
73518n,"[""n""]",[]
16996e,"[""c""]","[""contradiction""]"
69815n,[],[]
35809n,"[""c""]",[]
30282n,[],[]
142430c,"[""c""]",[]
127290n,"[""c""]",[]
100792c,"[""c"", ""n""]","[""entailment"", ""neutral""]"
75572n,"[""c"", ""n""]",[]
22235n,"[""c"", ""n""]",[]
40486n,"[""c""]",[]
13133n,"[""c""]",[]
94674c,[],[]
101525c,"[""e"", ""c""]",[]
145495c,"[""c""]",[]
93357c,[],[]
42388e,"[""c"", ""n""]",[]
22587e,"[""c""]",[]
131261n,"[""c"", ""n""]",[]
51353c,[],[]
10547c,[],[]
136360e,"[""c"", ""n""]",[]
113193n,[],"[""entailment""]"
120955n,"[""c""]","[""contradiction""]"
88188e,[],[]
138966n,[],"[""contradiction""]"
48222n,"[""c""]",[]
18428n,"[""n""]",[]
116059n,"[""n""]",[]
67610c,"[""c"", ""n""]",[]
95186n,[],[]
77875e,"[""c""]",[]
65879c,"[""n""]",[]
86331e,"[""c"", ""n""]",[]
65130n,"[""c""]","[""contradiction""]"
19578n,"[""c""]",[]
83657c,"[""c""]",[]
102817c,[],"[""contradiction""]"
124590c,[],[]
96583n,"[""c""]",[]
132525n,"[""c""]",[]
11362e,"[""e"", ""c""]",[]
107468n,"[""c"", ""n""]","[""entailment""]"
145047e,"[""c"", ""n""]",[]
55888c,"[""n""]",[]
138285n,"[""c""]",[]
57454c,"[""c""]",[]
88605n,"[""c"", ""n""]",[]
72721e,"[""c"", ""n""]",[]
49611e,"[""c""]",[]
16989c,[],"[""contradiction""]"
112349c,[],"[""neutral""]"
119768n,"[""e""]","[""entailment""]"
111680e,"[""c"", ""n""]",[]
43440n,"[""n""]",[]
91709c,"[""c""]",[]
47798n,[],[]
103364n,"[""c"", ""n""]",[]
49462c,"[""n""]","[""contradiction""]"
97011c,"[""e""]",[]
56743e,"[""c"", ""n""]",[]
48300c,[],[]
105769c,[],[]
53866e,"[""c"", ""n""]","[""entailment""]"
136752e,"[""c""]",[]
14388e,"[""c"", ""n""]","[""entailment""]"
103559e,"[""c"", ""n""]",[]
132019n,"[""c""]",[]
118999n,"[""c"", ""n""]","[""entailment""]"
47404e,"[""c"", ""n""]","[""entailment""]"
30171n,"[""c"", ""n""]",[]
134514c,"[""n""]",[]
52542n,"[""c"", ""n""]","[""contradiction""]"
47408n,"[""c"", ""n""]","[""neutral""]"
135021n,"[""c""]","[""entailment""]"
88605e,"[""c""]",[]
98710n,"[""c""]",[]
30894c,"[""c"", ""n""]",[]
81356e,"[""c""]",[]
132516n,"[""c""]","[""entailment""]"
34176n,"[""e""]",[]
77116e,"[""c""]",[]
76947n,"[""e""]",[]
139635n,"[""c"", ""n""]",[]
101245n,"[""c"", ""n""]",[]
8545c,"[""e""]","[""neutral""]"
8219n,"[""c"", ""n""]","[""entailment""]"
115247c,[],[]
99708e,"[""c"", ""n""]",[]
82415n,"[""n""]","[""contradiction""]"
82700c,[],[]
1073c,"[""c""]",[]
120149c,[],[]
124037n,"[""c""]","[""entailment""]"
92062c,[],[]
131235c,[],[]
46820e,[],"[""contradiction""]"
77590c,"[""c""]",[]
128542e,"[""c""]","[""entailment""]"
74768e,"[""c"", ""n""]",[]
122928e,"[""c""]","[""entailment""]"
139409e,"[""c"", ""n""]",[]
59208n,"[""n""]",[]
