id,llm_error,varierr_error
23751e,"[""e"", ""n"", ""c""]",[]
61429c,"[""e"", ""n"", ""c""]",[]
54811c,"[""c"", ""n""]","[""contradiction""]"
12601n,"[""c"", ""n""]",[]
38477c,"[""c"", ""n""]",[]
1735n,"[""n""]","[""neutral""]"
7449e,"[""e"", ""n"", ""c""]","[""entailment""]"
24385e,"[""c"", ""n""]",[]
49807n,"[""n""]",[]
138448c,[],[]
48454c,"[""e"", ""n"", ""c""]","[""contradiction""]"
73260n,"[""c"", ""n""]","[""entailment""]"
76219n,"[""c"", ""n""]",[]
10229n,"[""e"", ""n"", ""c""]",[]
99791n,"[""c"", ""n""]",[]
13964e,[],[]
66185c,"[""n""]","[""contradiction""]"
65066n,"[""n""]",[]
76020e,"[""c"", ""n""]",[]
83248c,"[""e"", ""n"", ""c""]","[""neutral""]"
79141n,"[""c"", ""n""]",[]
97926n,"[""e"", ""n"", ""c""]",[]
45957e,"[""n""]",[]
24126n,"[""e"", ""n"", ""c""]","[""entailment""]"
135251n,"[""c"", ""n""]",[]
48223n,"[""c"", ""n""]",[]
73518n,"[""e"", ""n"", ""c""]",[]
16996e,"[""c"", ""n""]","[""contradiction""]"
69815n,"[""n""]",[]
35809n,"[""c"", ""n""]",[]
30282n,"[""c"", ""n""]",[]
142430c,"[""n""]",[]
127290n,"[""c"", ""n""]",[]
100792c,"[""n""]","[""entailment"", ""neutral""]"
75572n,"[""e"", ""n"", ""c""]",[]
22235n,"[""e"", ""n"", ""c""]",[]
40486n,"[""c"", ""n""]",[]
13133n,"[""e"", ""n"", ""c""]",[]
94674c,"[""e"", ""n"", ""c""]",[]
101525c,"[""e"", ""n"", ""c""]",[]
145495c,"[""c"", ""n""]",[]
93357c,"[""e""]",[]
42388e,"[""c"", ""n""]",[]
22587e,"[""c"", ""n""]",[]
131261n,"[""c"", ""n""]",[]
51353c,"[""e""]",[]
10547c,"[""c"", ""n""]",[]
136360e,"[""c"", ""n""]",[]
113193n,"[""c"", ""n""]","[""entailment""]"
120955n,"[""n""]","[""contradiction""]"
88188e,"[""c"", ""n""]",[]
138966n,"[""e"", ""n""]","[""contradiction""]"
48222n,"[""c"", ""n""]",[]
18428n,"[""c"", ""n""]",[]
116059n,"[""c"", ""n""]",[]
67610c,"[""c"", ""n""]",[]
95186n,"[""e"", ""n"", ""c""]",[]
77875e,"[""n""]",[]
65879c,[],[]
86331e,"[""c"", ""n""]",[]
65130n,"[""c"", ""n""]","[""contradiction""]"
19578n,"[""c"", ""n""]",[]
83657c,"[""e"", ""c""]",[]
102817c,"[""e"", ""n"", ""c""]","[""contradiction""]"
124590c,"[""c"", ""n""]",[]
96583n,"[""e"", ""n""]",[]
132525n,"[""e"", ""n"", ""c""]",[]
11362e,"[""e"", ""n"", ""c""]",[]
107468n,"[""e"", ""n"", ""c""]","[""entailment""]"
145047e,"[""c"", ""n""]",[]
55888c,"[""e"", ""n"", ""c""]",[]
138285n,"[""c"", ""n""]",[]
57454c,"[""e"", ""c""]",[]
88605n,"[""c"", ""n""]",[]
72721e,"[""n""]",[]
49611e,"[""c"", ""n""]",[]
16989c,"[""c"", ""n""]","[""contradiction""]"
112349c,"[""e"", ""n"", ""c""]","[""neutral""]"
119768n,"[""c"", ""n""]","[""entailment""]"
111680e,"[""c"", ""n""]",[]
43440n,"[""n""]",[]
91709c,"[""n""]",[]
47798n,"[""n""]",[]
103364n,"[""c""]",[]
49462c,"[""e"", ""n"", ""c""]","[""contradiction""]"
97011c,"[""n""]",[]
56743e,"[""e"", ""n"", ""c""]",[]
48300c,"[""e"", ""n"", ""c""]",[]
105769c,"[""c"", ""n""]",[]
53866e,"[""c"", ""n""]","[""entailment""]"
136752e,"[""e"", ""n"", ""c""]",[]
14388e,"[""e"", ""n"", ""c""]","[""entailment""]"
103559e,"[""c"", ""n""]",[]
132019n,"[""c"", ""n""]",[]
118999n,"[""c"", ""n""]","[""entailment""]"
47404e,"[""e"", ""n"", ""c""]","[""entailment""]"
30171n,"[""c"", ""n""]",[]
134514c,[],[]
52542n,"[""c"", ""n""]","[""contradiction""]"
47408n,"[""c"", ""n""]","[""neutral""]"
135021n,"[""c"", ""n""]","[""entailment""]"
88605e,"[""c""]",[]
98710n,"[""c"", ""n""]",[]
30894c,"[""c"", ""n""]",[]
81356e,"[""c"", ""n""]",[]
132516n,"[""n""]","[""entailment""]"
34176n,"[""c"", ""n""]",[]
77116e,"[""c"", ""n""]",[]
76947n,"[""e"", ""n""]",[]
139635n,"[""c""]",[]
101245n,"[""c"", ""n""]",[]
8545c,[],"[""neutral""]"
8219n,"[""c"", ""n""]","[""entailment""]"
115247c,"[""e"", ""n""]",[]
99708e,"[""c"", ""n""]",[]
82415n,"[""n""]","[""contradiction""]"
82700c,"[""e"", ""n""]",[]
1073c,"[""e"", ""n"", ""c""]",[]
120149c,"[""c"", ""n""]",[]
124037n,"[""c"", ""n""]","[""entailment""]"
92062c,"[""n""]",[]
131235c,"[""c"", ""n""]",[]
46820e,"[""e"", ""n"", ""c""]","[""contradiction""]"
77590c,"[""e"", ""n"", ""c""]",[]
128542e,"[""c"", ""n""]","[""entailment""]"
74768e,"[""c""]",[]
122928e,"[""c"", ""n""]","[""entailment""]"
139409e,"[""e"", ""n"", ""c""]",[]
59208n,"[""n""]",[]
133597n,"[""c"", ""n""]",[]
80517e,"[""n""]",[]
93236c,[],[]
142643c,"[""n""]",[]
31113e,"[""e"", ""n"", ""c""]",[]
34776c,"[""e"", ""n"", ""c""]","[""contradiction""]"
121422c,"[""c"", ""n""]",[]
104805e,"[""c"", ""n""]",[]
115821n,"[""c"", ""n""]",[]
80630e,[],"[""contradiction""]"
138862c,"[""e"", ""n"", ""c""]",[]
105179c,"[""c"", ""n""]",[]
109876n,"[""e"", ""n"", ""c""]",[]
65353n,"[""e"", ""n"", ""c""]",[]
16494c,"[""c""]",[]
60732n,"[""c"", ""n""]",[]
88646c,"[""e"", ""c""]",[]
53074n,"[""c"", ""n""]",[]
61818n,"[""c"", ""n""]",[]
46003n,"[""c"", ""n""]",[]
6386n,"[""c"", ""n""]",[]
98739n,"[""c"", ""n""]",[]
108624c,[],[]
106013c,"[""n""]","[""entailment""]"
37407n,"[""n""]",[]
70590c,"[""e"", ""n"", ""c""]",[]
23901e,"[""c""]",[]
23280n,"[""c"", ""n""]",[]
135247c,[],[]
58357c,"[""c"", ""n""]",[]
19803e,"[""c"", ""n""]",[]
144753n,"[""c"", ""n""]",[]
15100e,"[""c"", ""n""]",[]
28507n,"[""c"", ""n""]",[]
123748n,"[""n""]",[]
111338c,"[""n""]",[]
52171c,[],[]
90548e,"[""c"", ""n""]",[]
81842c,"[""e"", ""n""]",[]
91601n,"[""c"", ""n""]",[]
118415n,"[""c"", ""n""]",[]
113644n,"[""e"", ""n"", ""c""]",[]
47260n,"[""c"", ""n""]",[]
129081e,"[""n""]",[]
18189e,"[""c"", ""n""]",[]
91797c,"[""n""]",[]
917c,"[""e"", ""n"", ""c""]",[]
89995c,"[""e"", ""n""]","[""entailment""]"
33822e,"[""c"", ""n""]",[]
42983e,"[""c"", ""n""]",[]
6105e,"[""c"", ""n""]",[]
26143n,"[""c"", ""n""]",[]
100768n,"[""c"", ""n""]",[]
82510e,"[""n""]",[]
102563n,"[""e"", ""n"", ""c""]",[]
48553c,"[""c"", ""n""]",[]
54458n,"[""e"", ""n"", ""c""]",[]
17576n,"[""e"", ""n"", ""c""]","[""contradiction"", ""entailment""]"
103431n,"[""c"", ""n""]",[]
64123c,[],"[""contradiction""]"
56163c,"[""c"", ""n""]",[]
11297c,"[""e"", ""n"", ""c""]","[""neutral""]"
32889n,[],[]
19c,"[""n""]",[]
32754e,"[""c"", ""n""]",[]
12815n,"[""c"", ""n""]",[]
135898c,"[""e"", ""n""]","[""contradiction""]"
82830n,[],[]
74509n,"[""e"", ""n"", ""c""]",[]
98944c,"[""c"", ""n""]",[]
19208c,"[""c"", ""n""]",[]
117576e,"[""c"", ""n""]",[]
50484c,[],[]
98445c,"[""e"", ""n"", ""c""]","[""contradiction""]"
7856c,"[""c""]",[]
8257n,"[""c"", ""n""]",[]
141110n,"[""c"", ""n""]","[""entailment""]"
84055n,"[""e""]","[""contradiction"", ""entailment""]"
143789n,"[""e"", ""n"", ""c""]",[]
13911n,[],"[""contradiction""]"
122062n,"[""e"", ""n"", ""c""]",[]
49396e,"[""c"", ""n""]",[]
73444n,"[""c"", ""n""]",[]
79106e,"[""n""]",[]
82230e,"[""c"", ""n""]",[]
14280n,"[""e"", ""n"", ""c""]",[]
19668c,"[""n""]","[""neutral""]"
12562n,"[""c"", ""n""]","[""entailment""]"
111693e,"[""c"", ""n""]","[""entailment""]"
124839c,"[""e"", ""n""]",[]
72870n,"[""c"", ""n""]",[]
129601n,"[""e"", ""n""]",[]
26372n,"[""c"", ""n""]","[""entailment""]"
74534n,"[""n""]",[]
63469c,"[""n""]",[]
141321n,[],[]
68946c,"[""n""]",[]
41975c,"[""c"", ""n""]",[]
100349e,"[""e"", ""n"", ""c""]",[]
107399c,[],[]
131623c,"[""e"", ""n"", ""c""]","[""contradiction""]"
58954c,"[""c"", ""n""]",[]
74377e,"[""e"", ""n"", ""c""]",[]
130680e,"[""c"", ""n""]",[]
49227n,"[""c"", ""n""]",[]
124853e,"[""c"", ""n""]","[""contradiction""]"
117892n,"[""c"", ""n""]",[]
111243n,"[""c"", ""n""]",[]
77654e,[],[]
110061n,"[""e"", ""n"", ""c""]",[]
29844c,"[""e"", ""n""]",[]
27335e,"[""c"", ""n""]",[]
87332c,"[""c"", ""n""]","[""entailment""]"
53499c,"[""e"", ""n""]","[""entailment""]"
65199n,"[""c"", ""n""]",[]
88050c,[],[]
34094e,"[""c"", ""n""]",[]
72875e,"[""c"", ""n""]",[]
19921n,"[""e"", ""n"", ""c""]",[]
23583e,"[""n""]",[]
91106n,"[""c"", ""n""]",[]
9557e,"[""c"", ""n""]","[""entailment""]"
15537n,"[""c"", ""n""]","[""entailment""]"
3476n,"[""n""]",[]
56124n,"[""e"", ""n"", ""c""]","[""entailment""]"
5193n,"[""c""]",[]
106390n,"[""c""]",[]
54327n,"[""e""]",[]
2870n,"[""c"", ""n""]",[]
63218n,"[""c"", ""n""]",[]
144753c,"[""c"", ""n""]",[]
73191n,"[""c"", ""n""]","[""contradiction""]"
62273n,"[""c"", ""n""]",[]
58016c,"[""c"", ""n""]",[]
45605n,"[""c"", ""n""]",[]
82174e,"[""c"", ""n""]",[]
123703e,"[""c"", ""n""]",[]
127410n,"[""e""]",[]
55572n,[],[]
45774c,"[""e"", ""n"", ""c""]","[""contradiction""]"
130869n,"[""c"", ""n""]",[]
93955n,"[""e"", ""n"", ""c""]","[""entailment""]"
72870c,[],"[""contradiction"", ""entailment""]"
77025c,"[""e"", ""n"", ""c""]",[]
69975n,"[""e"", ""n""]",[]
125238c,"[""n""]",[]
27022c,"[""c"", ""n""]",[]
66689c,[],"[""neutral""]"
112547n,"[""c"", ""n""]","[""entailment""]"
129081n,"[""c""]",[]
45306n,"[""c"", ""n""]",[]
76957c,"[""e"", ""n"", ""c""]",[]
2262n,"[""c"", ""n""]","[""entailment""]"
40710n,"[""n""]",[]
21957n,"[""e"", ""n"", ""c""]",[]
14126e,"[""c"", ""n""]",[]
79013n,"[""n""]","[""entailment"", ""neutral""]"
38156n,"[""c"", ""n""]",[]
25304n,[],"[""neutral""]"
111338e,"[""c"", ""n""]",[]
75259c,"[""c"", ""n""]","[""contradiction""]"
53211n,"[""c"", ""n""]","[""entailment""]"
123267e,"[""c"", ""n""]",[]
80808n,"[""c"", ""n""]","[""neutral""]"
72740c,"[""c"", ""n""]",[]
71251n,"[""c"", ""n""]",[]
117680c,[],[]
80930n,"[""c"", ""n""]",[]
98844n,"[""e"", ""n"", ""c""]",[]
127073c,"[""n""]","[""contradiction""]"
61216c,[],[]
102857n,"[""e"", ""n"", ""c""]","[""contradiction""]"
133243e,"[""c"", ""n""]",[]
