uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
88050c,0.30632971524254704,1.7274111826360885,"[0.0, 0.5, 0.5]","[0.21, 0.03, 0.76]","[0.0, 2.0, 2.0]","[21.0, 3.0, 76.0]"
16494c,0.19360716626073834,0.9476974783440304,"[0.0, 0.5, 0.5]","[0.08, 0.08, 0.84]","[0.0, 3.0, 3.0]","[8.0, 8.0, 84.0]"
5193n,0.2787106118797273,2.3291778796696003,"[0.5, 0.5, 0.0]","[0.99, 0.01, 0.0]","[3.0, 3.0, 0.0]","[99.0, 1.0, 0.0]"
34573n,0.03692160750506053,0.15174382894591612,"[0.25, 0.375, 0.375]","[0.43, 0.2, 0.37]","[2.0, 3.0, 3.0]","[43.0, 20.0, 37.0]"
53468n,0.08151571217701463,0.39980038121758454,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.36, 0.56, 0.08]","[3.0, 3.0, 3.0]","[36.0, 56.0, 8.0]"
52542n,0.1950149893675689,1.1919382785294488,"[0.375, 0.375, 0.25]","[0.16, 0.83, 0.01]","[3.0, 3.0, 2.0]","[16.0, 83.0, 1.0]"
113039e,0.09652797951379495,0.28673343090421216,"[0.5, 0.5, 0.0]","[0.42, 0.4, 0.18]","[3.0, 3.0, 0.0]","[42.0, 40.0, 18.0]"
57454c,0.14860530879021797,9.192373319149814,"[0.25, 0.375, 0.375]","[0.0, 0.63, 0.37]","[2.0, 3.0, 3.0]","[0.0, 63.0, 37.0]"
8219n,0.1273808481276537,0.7973487405231017,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.49, 0.48, 0.03]","[3.0, 3.0, 3.0]","[49.0, 48.0, 3.0]"
44747n,0.024944478563446535,0.08484895239519154,"[0.0, 0.6, 0.4]","[0.03, 0.69, 0.28]","[0.0, 3.0, 2.0]","[3.0, 69.0, 28.0]"
55888c,0.10545063448913534,0.552767074082475,"[0.375, 0.375, 0.25]","[0.07, 0.52, 0.41]","[3.0, 3.0, 2.0]","[7.0, 52.0, 41.0]"
105196n,0.19409797611657928,1.5624545330735198,"[0.25, 0.375, 0.375]","[0.49, 0.5, 0.01]","[2.0, 3.0, 3.0]","[49.0, 50.0, 1.0]"
77875e,0.15596801084363418,0.7400503408745542,"[0.375, 0.375, 0.25]","[0.81, 0.15, 0.04]","[3.0, 3.0, 2.0]","[81.0, 15.0, 4.0]"
136752n,0.08337360946955351,0.49340534380309614,"[0.375, 0.375, 0.25]","[0.43, 0.54, 0.03]","[3.0, 3.0, 2.0]","[43.0, 54.0, 3.0]"
140782c,0.059786997991256176,0.1926686324951638,"[0.0, 0.5, 0.5]","[0.09, 0.33, 0.58]","[0.0, 3.0, 3.0]","[9.0, 33.0, 58.0]"
123038e,0.06865032469843467,0.3361041670925789,"[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]","[0.66, 0.27, 0.07]","[3.0, 2.0, 2.0]","[66.0, 27.0, 7.0]"
26495e,0.13614103251976697,0.5679315008883665,"[0.2857142857142857, 0.42857142857142855, 0.2857142857142857]","[0.71, 0.15, 0.14]","[2.0, 3.0, 2.0]","[71.0, 15.0, 14.0]"
49172n,0.21473913060216054,1.2850638879678402,"[0.375, 0.375, 0.25]","[0.86, 0.13, 0.01]","[3.0, 3.0, 2.0]","[86.0, 13.0, 1.0]"
54327n,0.18939351214670785,1.547164954261419,"[0.375, 0.375, 0.25]","[0.01, 0.57, 0.42]","[3.0, 3.0, 2.0]","[1.0, 57.0, 42.0]"
120070n,0.11617867075851952,0.6187208475036714,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.62, 0.33, 0.05]","[3.0, 3.0, 3.0]","[62.0, 33.0, 5.0]"
114492n,0.05958629869547497,0.26024987516712705,"[0.3, 0.4, 0.3]","[0.11, 0.66, 0.23]","[3.0, 4.0, 3.0]","[11.0, 66.0, 23.0]"
28306c,0.14224692601052935,0.5458625407221321,"[0.0, 0.5, 0.5]","[0.14, 0.17, 0.69]","[0.0, 3.0, 3.0]","[14.0, 17.0, 69.0]"
91709c,0.03089513887103723,0.13408905623053252,"[0.375, 0.375, 0.25]","[0.19, 0.49, 0.32]","[3.0, 3.0, 2.0]","[19.0, 49.0, 32.0]"
10119e,0.1355277258118496,0.8251248683893658,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.6, 0.37, 0.03]","[2.0, 2.0, 2.0]","[60.0, 37.0, 3.0]"
125013e,0.08696655370527645,0.368860418182916,"[0.4, 0.6, 0.0]","[0.74, 0.26, 0.0]","[2.0, 3.0, 0.0]","[74.0, 26.0, 0.0]"
38477c,0.016678646702194173,0.06203135173348934,"[0.0, 0.5, 0.5]","[0.01, 0.37, 0.62]","[0.0, 3.0, 3.0]","[1.0, 37.0, 62.0]"
58954c,0.1292060218076836,0.8035221031800271,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.03, 0.43, 0.54]","[3.0, 3.0, 3.0]","[3.0, 43.0, 54.0]"
77893n,0.12018530123307704,0.6311694934210068,"[0.375, 0.375, 0.25]","[0.72, 0.25, 0.03]","[3.0, 3.0, 2.0]","[72.0, 25.0, 3.0]"
62238e,0.1198546746329329,0.8905787461580377,"[0.375, 0.375, 0.25]","[0.61, 0.38, 0.01]","[3.0, 3.0, 2.0]","[61.0, 38.0, 1.0]"
37407n,0.14860530879021797,9.192373319149814,"[0.25, 0.375, 0.375]","[0.0, 0.63, 0.37]","[2.0, 3.0, 3.0]","[0.0, 63.0, 37.0]"
113668n,0.20616715833035576,12.42136835184796,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.66, 0.34, 0.0]","[3.0, 3.0, 3.0]","[66.0, 34.0, 0.0]"
98487c,0.14324657254372777,5.378999465451466,"[0.14285714285714285, 0.42857142857142855, 0.42857142857142855]","[0.0, 0.8, 0.2]","[1.0, 3.0, 3.0]","[0.0, 80.0, 20.0]"
11303n,0.11624839185280547,0.6999710024856717,"[0.375, 0.375, 0.25]","[0.67, 0.31, 0.02]","[3.0, 3.0, 2.0]","[67.0, 31.0, 2.0]"
83248c,0.07866127989489728,0.26142039436971937,"[0.0, 0.5, 0.5]","[0.11, 0.29, 0.6]","[0.0, 2.0, 2.0]","[11.0, 29.0, 60.0]"
11618c,0.13735927719294266,0.676273664969747,"[0.0, 0.5, 0.5]","[0.0, 0.11, 0.89]","[0.0, 2.0, 2.0]","[0.0, 11.0, 89.0]"
106390n,0.13000976006520598,0.6058554164099303,"[0.25, 0.375, 0.375]","[0.6, 0.32, 0.08]","[2.0, 3.0, 3.0]","[60.0, 32.0, 8.0]"
131261n,0.026951761973388187,0.13306436853981055,"[0.5, 0.3333333333333333, 0.16666666666666666]","[0.55, 0.4, 0.05]","[3.0, 2.0, 1.0]","[55.0, 40.0, 5.0]"
