id,llm_error,varierr_error
23751e,"[""n"", ""c""]",[]
61429c,"[""e""]",[]
54811c,"[""e"", ""n"", ""c""]","[""contradiction""]"
12601n,"[""e"", ""n"", ""c""]",[]
38477c,"[""e"", ""c""]",[]
1735n,"[""e"", ""n""]","[""neutral""]"
7449e,"[""e"", ""n"", ""c""]","[""entailment""]"
24385e,"[""n"", ""c""]",[]
49807n,"[""n""]",[]
138448c,"[""n""]",[]
48454c,"[""e"", ""n"", ""c""]","[""contradiction""]"
73260n,"[""n"", ""c""]","[""entailment""]"
76219n,"[""n"", ""c""]",[]
10229n,"[""e"", ""n"", ""c""]",[]
99791n,"[""n"", ""c""]",[]
13964e,"[""n"", ""c""]",[]
66185c,"[""n"", ""c""]","[""contradiction""]"
65066n,"[""e"", ""n"", ""c""]",[]
76020e,"[""n"", ""c""]",[]
83248c,"[""e""]","[""neutral""]"
79141n,"[""n"", ""c""]",[]
97926n,"[""n"", ""c""]",[]
45957e,"[""e"", ""n""]",[]
24126n,"[""n"", ""c""]","[""entailment""]"
135251n,"[""n"", ""c""]",[]
48223n,"[""n"", ""c""]",[]
73518n,"[""e"", ""n""]",[]
16996e,"[""e"", ""n"", ""c""]","[""contradiction""]"
69815n,"[""e""]",[]
35809n,"[""n"", ""c""]",[]
30282n,"[""e"", ""n"", ""c""]",[]
142430c,"[""n"", ""c""]",[]
127290n,"[""n"", ""c""]",[]
100792c,"[""e"", ""n""]","[""entailment"", ""neutral""]"
75572n,"[""n"", ""c""]",[]
22235n,"[""n"", ""c""]",[]
40486n,"[""n"", ""c""]",[]
13133n,"[""n"", ""c""]",[]
94674c,"[""e""]",[]
101525c,"[""e"", ""c""]",[]
145495c,"[""e"", ""n""]",[]
93357c,[],[]
42388e,"[""e"", ""n"", ""c""]",[]
22587e,"[""n"", ""c""]",[]
131261n,"[""n"", ""c""]",[]
51353c,"[""e"", ""c""]",[]
10547c,"[""e"", ""n""]",[]
136360e,"[""e"", ""n"", ""c""]",[]
113193n,"[""e"", ""n"", ""c""]","[""entailment""]"
120955n,"[""e"", ""c""]","[""contradiction""]"
88188e,"[""e"", ""n"", ""c""]",[]
138966n,[],"[""contradiction""]"
48222n,"[""n"", ""c""]",[]
18428n,"[""n"", ""c""]",[]
116059n,"[""e"", ""n"", ""c""]",[]
67610c,"[""n""]",[]
95186n,"[""n"", ""c""]",[]
77875e,"[""e"", ""n"", ""c""]",[]
65879c,"[""e""]",[]
86331e,"[""n"", ""c""]",[]
65130n,"[""e"", ""n"", ""c""]","[""contradiction""]"
19578n,"[""e"", ""c""]",[]
83657c,"[""c""]",[]
102817c,[],"[""contradiction""]"
124590c,"[""e""]",[]
96583n,"[""c""]",[]
132525n,"[""e"", ""n"", ""c""]",[]
11362e,"[""n"", ""c""]",[]
107468n,"[""n"", ""c""]","[""entailment""]"
145047e,"[""e"", ""n"", ""c""]",[]
55888c,"[""e"", ""n""]",[]
138285n,"[""n"", ""c""]",[]
57454c,"[""e""]",[]
88605n,"[""n"", ""c""]",[]
72721e,"[""n"", ""c""]",[]
49611e,"[""n"", ""c""]",[]
16989c,"[""e"", ""c""]","[""contradiction""]"
112349c,"[""e"", ""n""]","[""neutral""]"
119768n,"[""e""]","[""entailment""]"
111680e,"[""e"", ""n"", ""c""]",[]
43440n,"[""n"", ""c""]",[]
91709c,"[""e"", ""n"", ""c""]",[]
47798n,"[""n""]",[]
103364n,"[""n"", ""c""]",[]
49462c,"[""e"", ""n"", ""c""]","[""contradiction""]"
97011c,"[""e""]",[]
56743e,"[""n"", ""c""]",[]
48300c,"[""e"", ""n""]",[]
105769c,"[""e"", ""n""]",[]
53866e,"[""n"", ""c""]","[""entailment""]"
136752e,"[""n"", ""c""]",[]
14388e,"[""n"", ""c""]","[""entailment""]"
103559e,"[""n"", ""c""]",[]
132019n,"[""n"", ""c""]",[]
118999n,"[""n"", ""c""]","[""entailment""]"
47404e,"[""n""]","[""entailment""]"
30171n,"[""n""]",[]
134514c,"[""e""]",[]
52542n,"[""e"", ""n"", ""c""]","[""contradiction""]"
47408n,"[""n"", ""c""]","[""neutral""]"
135021n,"[""e"", ""n""]","[""entailment""]"
88605e,"[""n"", ""c""]",[]
98710n,"[""n"", ""c""]",[]
30894c,"[""n"", ""c""]",[]
81356e,"[""e"", ""n""]",[]
132516n,"[""n"", ""c""]","[""entailment""]"
34176n,"[""e""]",[]
77116e,"[""n"", ""c""]",[]
76947n,"[""n"", ""c""]",[]
139635n,"[""n""]",[]
101245n,"[""e"", ""n"", ""c""]",[]
8545c,"[""e""]","[""neutral""]"
8219n,"[""n"", ""c""]","[""entailment""]"
115247c,"[""e""]",[]
99708e,"[""n"", ""c""]",[]
82415n,"[""n""]","[""contradiction""]"
82700c,"[""n""]",[]
1073c,"[""e"", ""c""]",[]
120149c,[],[]
124037n,"[""n"", ""c""]","[""entailment""]"
92062c,"[""n""]",[]
131235c,"[""e""]",[]
46820e,"[""n"", ""c""]","[""contradiction""]"
77590c,"[""n"", ""c""]",[]
128542e,"[""n"", ""c""]","[""entailment""]"
74768e,"[""n"", ""c""]",[]
122928e,"[""n"", ""c""]","[""entailment""]"
139409e,"[""n"", ""c""]",[]
59208n,[],[]
133597n,"[""e"", ""n"", ""c""]",[]
80517e,"[""n"", ""c""]",[]
93236c,"[""e""]",[]
142643c,"[""e"", ""n""]",[]
31113e,"[""e"", ""n""]",[]
34776c,"[""e"", ""n""]","[""contradiction""]"
121422c,"[""e"", ""n""]",[]
104805e,"[""e"", ""n""]",[]
115821n,"[""n""]",[]
80630e,"[""n"", ""c""]","[""contradiction""]"
138862c,"[""e""]",[]
105179c,"[""e"", ""n""]",[]
109876n,"[""n"", ""c""]",[]
65353n,"[""n"", ""c""]",[]
16494c,"[""e"", ""n""]",[]
60732n,"[""e"", ""n"", ""c""]",[]
88646c,"[""e""]",[]
53074n,"[""e"", ""n"", ""c""]",[]
61818n,"[""e"", ""n""]",[]
46003n,"[""n"", ""c""]",[]
6386n,"[""n"", ""c""]",[]
98739n,"[""e"", ""n"", ""c""]",[]
108624c,"[""e"", ""n""]",[]
106013c,"[""e""]","[""entailment""]"
37407n,"[""e""]",[]
70590c,"[""e""]",[]
23901e,"[""e"", ""n"", ""c""]",[]
23280n,"[""e"", ""n""]",[]
135247c,"[""e"", ""n""]",[]
58357c,"[""n"", ""c""]",[]
19803e,"[""n"", ""c""]",[]
144753n,"[""e"", ""n"", ""c""]",[]
15100e,"[""n"", ""c""]",[]
28507n,"[""n"", ""c""]",[]
123748n,"[""e"", ""n"", ""c""]",[]
111338c,"[""e"", ""n""]",[]
52171c,"[""e""]",[]
90548e,"[""n"", ""c""]",[]
81842c,"[""e"", ""n""]",[]
91601n,"[""c""]",[]
118415n,"[""n"", ""c""]",[]
113644n,"[""e"", ""n"", ""c""]",[]
47260n,"[""e"", ""n"", ""c""]",[]
129081e,"[""n"", ""c""]",[]
18189e,"[""n"", ""c""]",[]
91797c,"[""e"", ""n""]",[]
917c,"[""e"", ""n"", ""c""]",[]
89995c,"[""e""]","[""entailment""]"
33822e,"[""n"", ""c""]",[]
42983e,"[""e"", ""n"", ""c""]",[]
6105e,"[""e"", ""n"", ""c""]",[]
26143n,"[""e"", ""n"", ""c""]",[]
100768n,"[""n"", ""c""]",[]
82510e,"[""e""]",[]
102563n,"[""e"", ""n"", ""c""]",[]
48553c,"[""e"", ""n""]",[]
54458n,"[""n"", ""c""]",[]
17576n,"[""e"", ""n""]","[""contradiction"", ""entailment""]"
103431n,"[""n"", ""c""]",[]
64123c,"[""n""]","[""contradiction""]"
56163c,"[""e"", ""n""]",[]
11297c,"[""n""]","[""neutral""]"
32889n,"[""e"", ""c""]",[]
19c,"[""e""]",[]
32754e,"[""e"", ""n"", ""c""]",[]
12815n,"[""n"", ""c""]",[]
135898c,"[""e"", ""n"", ""c""]","[""contradiction""]"
82830n,"[""e"", ""c""]",[]
74509n,"[""n"", ""c""]",[]
98944c,"[""n"", ""c""]",[]
19208c,"[""n""]",[]
117576e,"[""n"", ""c""]",[]
50484c,"[""e""]",[]
98445c,"[""e"", ""c""]","[""contradiction""]"
7856c,"[""e"", ""n""]",[]
8257n,"[""n"", ""c""]",[]
141110n,"[""e"", ""n"", ""c""]","[""entailment""]"
84055n,"[""e""]","[""contradiction"", ""entailment""]"
143789n,"[""n"", ""c""]",[]
13911n,"[""n""]","[""contradiction""]"
122062n,"[""n"", ""c""]",[]
49396e,"[""n"", ""c""]",[]
73444n,"[""n"", ""c""]",[]
79106e,"[""e""]",[]
82230e,"[""e"", ""n"", ""c""]",[]
14280n,"[""n"", ""c""]",[]
19668c,"[""e"", ""c""]","[""neutral""]"
12562n,"[""e"", ""n""]","[""entailment""]"
111693e,"[""e"", ""c""]","[""entailment""]"
124839c,"[""e"", ""n"", ""c""]",[]
72870n,"[""n"", ""c""]",[]
129601n,"[""e"", ""n"", ""c""]",[]
26372n,"[""e"", ""n"", ""c""]","[""entailment""]"
74534n,"[""e"", ""n"", ""c""]",[]
63469c,"[""e"", ""n""]",[]
141321n,"[""e"", ""n""]",[]
68946c,"[""n""]",[]
41975c,"[""e"", ""n"", ""c""]",[]
100349e,"[""n"", ""c""]",[]
107399c,"[""e"", ""n""]",[]
131623c,"[""e"", ""n""]","[""contradiction""]"
58954c,"[""e"", ""n"", ""c""]",[]
74377e,"[""e"", ""n"", ""c""]",[]
130680e,"[""e"", ""n"", ""c""]",[]
49227n,"[""n"", ""c""]",[]
124853e,"[""n"", ""c""]","[""contradiction""]"
117892n,"[""e"", ""n"", ""c""]",[]
111243n,"[""n"", ""c""]",[]
77654e,"[""n"", ""c""]",[]
110061n,"[""e"", ""n"", ""c""]",[]
29844c,"[""e""]",[]
27335e,"[""n"", ""c""]",[]
