uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
134103n,0.13792538097002996,0.41503749920629507,"[1.0, 0.0, 0.0]","[0.75, 0.22, 0.03]","[1.0, 0.0, 0.0]","[75.0, 22.0, 3.0]"
15100e,0.06276448651079408,0.18442457110061097,"[1.0, 0.0, 0.0]","[0.88, 0.12, 0.0]","[1.0, 0.0, 0.0]","[88.0, 12.0, 0.0]"
130680e,0.04653012540362907,0.1360615495396329,"[1.0, 0.0, 0.0]","[0.91, 0.09, 0.0]","[1.0, 0.0, 0.0]","[91.0, 9.0, 0.0]"
132019n,0.13792538097002996,0.4150374992056956,"[1.0, 0.0, 0.0]","[0.75, 0.05, 0.2]","[1.0, 0.0, 0.0]","[75.0, 5.0, 20.0]"
102075c,0.4120787460093083,19.18885515574116,"[0.5, 0.0, 0.5]","[0.0, 0.3, 0.7]","[1.0, 0.0, 1.0]","[0.0, 30.0, 70.0]"
127410n,0.13081391582192417,0.5290610234094097,"[0.0, 0.4, 0.6]","[0.12, 0.11, 0.77]","[0.0, 2.0, 3.0]","[12.0, 11.0, 77.0]"
52854n,0.28792531568673146,0.9159357351723884,"[1.0, 0.0, 0.0]","[0.53, 0.47, 0.0]","[1.0, 0.0, 0.0]","[53.0, 47.0, 0.0]"
78105e,0.10220681824533452,0.3040061868194571,"[1.0, 0.0, 0.0]","[0.81, 0.18, 0.01]","[1.0, 0.0, 0.0]","[81.0, 18.0, 1.0]"
83248c,0.024517288606151596,0.1110577385285586,"[0.25, 0.25, 0.5]","[0.11, 0.29, 0.6]","[1.0, 1.0, 2.0]","[11.0, 29.0, 60.0]"
83247e,0.3548277118615442,1.7025346650424096,"[0.5, 0.0, 0.5]","[0.59, 0.37, 0.04]","[1.0, 0.0, 1.0]","[59.0, 37.0, 4.0]"
74377e,0.1756259088173849,0.5353317329241466,"[1.0, 0.0, 0.0]","[0.69, 0.29, 0.02]","[1.0, 0.0, 0.0]","[69.0, 29.0, 2.0]"
144753n,0.31925145895127804,1.029146345584529,"[1.0, 0.0, 0.0]","[0.49, 0.45, 0.06]","[1.0, 0.0, 0.0]","[49.0, 45.0, 6.0]"
130928n,0.3034009788996592,0.9714308477288843,"[1.0, 0.0, 0.0]","[0.51, 0.45, 0.04]","[1.0, 0.0, 0.0]","[51.0, 45.0, 4.0]"
82528c,0.20224718633346683,0.6228280884767485,"[0.0, 0.3333333333333333, 0.6666666666666666]","[0.35, 0.23, 0.42]","[0.0, 1.0, 2.0]","[35.0, 23.0, 42.0]"
102563n,0.1355645553066113,0.41292618800022446,"[0.0, 0.6666666666666666, 0.3333333333333333]","[0.24, 0.45, 0.31]","[0.0, 2.0, 1.0]","[24.0, 45.0, 31.0]"
142430c,0.6936956313574917,2.8365012676338113,"[1.0, 0.0, 0.0]","[0.14, 0.4, 0.46]","[3.0, 0.0, 0.0]","[14.0, 40.0, 46.0]"
129081n,0.18141945727845685,0.7071341334776394,"[0.5, 0.5, 0.0]","[0.14, 0.67, 0.19]","[1.0, 1.0, 0.0]","[14.0, 67.0, 19.0]"
16996e,0.21555782509150792,0.6665762662008673,"[1.0, 0.0, 0.0]","[0.63, 0.32, 0.05]","[1.0, 0.0, 0.0]","[63.0, 32.0, 5.0]"
36811c,0.0496166541295596,0.2102967191916882,"[0.2, 0.2, 0.6]","[0.07, 0.4, 0.53]","[1.0, 1.0, 3.0]","[7.0, 40.0, 53.0]"
142604e,0.10220681824533452,0.3040061868525984,"[1.0, 0.0, 0.0]","[0.81, 0.19, 0.0]","[2.0, 0.0, 0.0]","[81.0, 19.0, 0.0]"
10916n,0.06276448651079408,0.18442457110061097,"[1.0, 0.0, 0.0]","[0.88, 0.12, 0.0]","[2.0, 0.0, 0.0]","[88.0, 12.0, 0.0]"
