uid,js_divergence,kl_divergence,model_distribution,human_distribution,model_counts,human_counts
49462c,0.4950067264945061,1.7509775003897163,"[0.4, 0.6, 0.0]","[0.1, 0.2, 0.7]","[2.0, 3.0, 0.0]","[10.0, 20.0, 70.0]"
23751e,0.12675412051327192,0.5889408625987741,"[0.5, 0.5, 0.0]","[0.85, 0.13, 0.02]","[3.0, 3.0, 0.0]","[85.0, 13.0, 2.0]"
60732n,0.12455827522668053,0.7313388381763819,"[0.375, 0.375, 0.25]","[0.7, 0.28, 0.02]","[3.0, 3.0, 2.0]","[70.0, 28.0, 2.0]"
129081n,0.07707463076156941,0.3567177181923285,"[0.42857142857142855, 0.42857142857142855, 0.14285714285714285]","[0.14, 0.67, 0.19]","[3.0, 3.0, 1.0]","[14.0, 67.0, 19.0]"
117680c,0.15702266036812984,0.6717795890395579,"[0.6, 0.0, 0.4]","[0.18, 0.06, 0.76]","[3.0, 0.0, 2.0]","[18.0, 6.0, 76.0]"
117093n,0.053362954129498,0.32078731544573735,"[0.5, 0.3333333333333333, 0.16666666666666666]","[0.54, 0.44, 0.02]","[3.0, 2.0, 1.0]","[54.0, 44.0, 2.0]"
83722e,0.1465959938417835,0.6249780818392324,"[0.4, 0.6, 0.0]","[0.76, 0.19, 0.05]","[2.0, 3.0, 0.0]","[76.0, 19.0, 5.0]"
43891n,0.3112781244591328,0.9999999999606944,"[0.0, 1.0, 0.0]","[0.0, 0.5, 0.5]","[0.0, 3.0, 0.0]","[0.0, 50.0, 50.0]"
128160n,0.08602066129072584,0.3389080257222379,"[0.6, 0.4, 0.0]","[0.78, 0.15, 0.07]","[3.0, 2.0, 0.0]","[78.0, 15.0, 7.0]"
132019n,0.1379253809700299,0.4150374992056956,"[1.0, 0.0, 0.0]","[0.75, 0.05, 0.2]","[2.0, 0.0, 0.0]","[75.0, 5.0, 20.0]"
73260n,0.16345803670336825,0.6421793564599838,"[0.6, 0.0, 0.4]","[0.72, 0.18, 0.1]","[3.0, 0.0, 2.0]","[72.0, 18.0, 10.0]"
10119e,0.025315883078513946,0.08568420912109129,"[0.5, 0.5, 0.0]","[0.6, 0.37, 0.03]","[2.0, 2.0, 0.0]","[60.0, 37.0, 3.0]"
