id,round,labels,llm_ranks,chaosnli_ranks,kendall_tau
100136e,round_1,"e,n,c","[2, 3, 1]","[1, 2, 2]",0.0
100349e,round_1,"e,n,c","[2, 1, 2]","[1, 1, 2]",0.49999999999999994
100768n,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
100792c,round_1,"e,n,c","[1, 1, 2]","[2, 2, 1]",-0.9999999999999999
100895c,round_1,"e,n,c","[3, 2, 1]","[2, 1, 2]",0.0
10119e,round_1,"e,n,c","[1, 2, 2]","[2, 1, 3]",0.0
101245n,round_1,"e,n,c","[1, 3, 2]","[2, 1, 3]",-0.33333333333333337
101253c,round_1,"e,n,c","[2, 1, 2]","[2, 1, 1]",0.49999999999999994
101525c,round_1,"e,n,c","[3, 1, 2]","[2, 1, 2]",0.816496580927726
102075c,round_1,"e,n,c","[1, 2, 3]","[2, 1, 2]",0.0
10229n,round_1,"e,n,c","[1, 2, 2]","[2, 1, 2]",-0.49999999999999994
102563n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 1]",0.9999999999999999
102817c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
102857n,round_1,"e,n,c","[2, 1, 1]","[1, 3, 2]",-0.816496580927726
103169n,round_1,"e,n,c","[3, 2, 1]","[1, 2, 2]",-0.816496580927726
103354n,round_1,"e,n,c","[3, 1, 2]","[2, 1, 2]",0.816496580927726
103364n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 2]",-0.49999999999999994
103431n,round_1,"e,n,c","[2, 2, 1]","[2, 1, 3]",-0.816496580927726
103559e,round_1,"e,n,c","[2, 2, 1]","[1, 3, 2]",0.0
104412e,round_1,"e,n,c","[2, 1, 3]","[1, 3, 2]",-0.33333333333333337
104805e,round_1,"e,n,c","[1, 2, 1]","[1, 1, 2]",-0.49999999999999994
105179c,round_1,"e,n,c","[1, 2, 2]","[2, 1, 1]",-0.9999999999999999
105196n,round_1,"e,n,c","[2, 1, 2]","[1, 1, 2]",0.49999999999999994
10547c,round_1,"e,n,c","[2, 3, 1]","[2, 2, 1]",0.816496580927726
105561e,round_1,"e,n,c","[3, 1, 2]","[2, 2, 1]",0.0
105769c,round_1,"e,n,c","[3, 1, 2]","[2, 2, 1]",0.0
105911c,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
106013c,round_1,"e,n,c","[1, 2, 1]","[2, 3, 1]",0.816496580927726
106390n,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
10724n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
107252c,round_1,"e,n,c","[3, 1, 2]","[2, 1, 2]",0.816496580927726
107399c,round_1,"e,n,c","[1, 2, 3]","[2, 1, 1]",-0.816496580927726
1073c,round_1,"e,n,c","[2, 2, 1]","[2, 1, 2]",-0.49999999999999994
107468n,round_1,"e,n,c","[2, 2, 1]","[2, 1, 3]",-0.816496580927726
108027n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
108624c,round_1,"e,n,c","[1, 2, 3]","[2, 2, 1]",-0.816496580927726
10916n,round_1,"e,n,c","[1, 2, 3]","[1, 2, 2]",0.816496580927726
109278n,round_1,"e,n,c","[2, 1, 3]","[3, 2, 1]",-0.33333333333333337
109679n,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
109876n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 1]",
110061n,round_1,"e,n,c","[3, 2, 1]","[2, 1, 2]",0.0
110234e,round_1,"e,n,c","[3, 2, 1]","[1, 2, 2]",-0.816496580927726
111243n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 2]",-0.49999999999999994
111338c,round_1,"e,n,c","[1, 2, 2]","[3, 2, 1]",-0.816496580927726
111338e,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
111680e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 2]",-0.49999999999999994
111693e,round_1,"e,n,c","[2, 3, 1]","[2, 1, 2]",-0.816496580927726
112349c,round_1,"e,n,c","[2, 3, 1]","[3, 2, 1]",0.33333333333333337
112402c,round_1,"e,n,c","[3, 1, 2]","[3, 1, 2]",1.0
112547n,round_1,"e,n,c","[3, 1, 2]","[2, 1, 3]",0.33333333333333337
11297c,round_1,"e,n,c","[3, 2, 1]","[2, 1, 1]",0.816496580927726
113039e,round_1,"e,n,c","[1, 3, 2]","[1, 1, 2]",0.0
11303n,round_1,"e,n,c","[2, 1, 3]","[1, 1, 2]",0.816496580927726
113193n,round_1,"e,n,c","[2, 1, 3]","[2, 1, 3]",1.0
11362e,round_1,"e,n,c","[2, 2, 1]","[3, 2, 1]",0.816496580927726
113644n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 2]",0.49999999999999994
113668n,round_1,"e,n,c","[1, 2, 3]","[2, 1, 2]",0.0
113967e,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
114458e,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
114492n,round_1,"e,n,c","[3, 1, 2]","[2, 1, 2]",0.816496580927726
114971e,round_1,"e,n,c","[2, 1, 1]","[1, 2, 2]",-0.9999999999999999
115247c,round_1,"e,n,c","[1, 1, 2]","[3, 1, 2]",0.0
11534n,round_1,"e,n,c","[1, 2, 3]","[2, 1, 2]",0.0
115821n,round_1,"e,n,c","[2, 3, 1]","[2, 1, 3]",-1.0
11601n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
116059n,round_1,"e,n,c","[1, 2, 2]","[2, 1, 2]",-0.49999999999999994
116176c,round_1,"e,n,c","[1, 1, 2]","[2, 1, 2]",0.49999999999999994
11618c,round_1,"e,n,c","[1, 3, 2]","[2, 2, 1]",0.0
117089n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 2]",0.49999999999999994
117093n,round_1,"e,n,c","[2, 1, 3]","[1, 2, 3]",0.33333333333333337
117177n,round_1,"e,n,c","[2, 2, 1]","[1, 1, 2]",-0.9999999999999999
117576e,round_1,"e,n,c","[2, 3, 1]","[1, 1, 2]",-0.816496580927726
117680c,round_1,"e,n,c","[3, 1, 2]","[2, 2, 1]",0.0
117892n,round_1,"e,n,c","[2, 1, 3]","[2, 1, 2]",0.816496580927726
118403n,round_1,"e,n,c","[1, 2, 1]","[2, 1, 1]",-0.49999999999999994
118415n,round_1,"e,n,c","[1, 3, 2]","[2, 1, 3]",-0.33333333333333337
118460n,round_1,"e,n,c","[2, 1, 3]","[2, 1, 2]",0.816496580927726
118999n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
11971n,round_1,"e,n,c","[3, 1, 2]","[1, 1, 2]",0.0
119768n,round_1,"e,n,c","[2, 1, 3]","[2, 1, 3]",1.0
120070n,round_1,"e,n,c","[3, 1, 2]","[2, 2, 1]",0.0
120149c,round_1,"e,n,c","[1, 3, 2]","[2, 2, 1]",0.0
120323n,round_1,"e,n,c","[2, 1, 1]","[1, 3, 2]",-0.816496580927726
120896n,round_1,"e,n,c","[1, 2, 2]","[1, 2, 3]",0.816496580927726
120955n,round_1,"e,n,c","[2, 1, 2]","[3, 1, 2]",0.816496580927726
121360c,round_1,"e,n,c","[2, 1, 2]","[3, 1, 2]",0.816496580927726
121422c,round_1,"e,n,c","[2, 1, 2]","[3, 1, 2]",0.816496580927726
121910c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 1]",0.9999999999999999
121910e,round_1,"e,n,c","[3, 1, 2]","[1, 2, 2]",-0.816496580927726
122062n,round_1,"e,n,c","[3, 1, 2]","[2, 1, 2]",0.816496580927726
122322e,round_1,"e,n,c","[2, 2, 1]","[1, 2, 1]",0.49999999999999994
122645n,round_1,"e,n,c","[3, 2, 1]","[3, 1, 2]",0.33333333333333337
122928e,round_1,"e,n,c","[2, 1, 2]","[2, 1, 1]",0.49999999999999994
123027n,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
123038e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
